daily,date,lisa_v,lisa_p,lisa_c,ID,clusterN,p
0.0,20220501,0.28835930487891326,0.017,2,12081,1,1
9.237021984112322e-05,20220501,0.0715912647552912,0.02,1,31041,4,1
0.0,20220501,0.28835930487891326,0.024,2,12013,1,1
0.00028744993580284765,20220501,1.3769470371742076,0.015,1,17037,4,1
3.2173996975644285e-05,20220501,0.1629167927155811,0.012,2,38089,1,1
0.0,20220501,0.28835930487891326,0.03,2,47173,1,1
0.00015071590052750564,20220501,0.5183361529300377,0.023,1,17053,4,1
0.0,20220501,0.25489167836403026,0.011,2,38029,1,1
0.0,20220501,0.2520457288061646,0.049,2,22113,1,1
6.208737763612657e-05,20220501,-0.08464831738889676,0.03,3,40019,3,1
2.5307485954345296e-05,20220501,0.19752193207540059,0.044,2,37139,1,1
6.279829188646068e-05,20220501,0.06295438469817986,0.012,2,28011,1,1
2.253267237494367e-05,20220501,0.1619291145564271,0.025,2,32023,1,1
0.0,20220501,0.28835930487891326,0.004,2,47073,1,2
0.0,20220501,0.28835930487891326,0.047,2,38011,1,1
0.0,20220501,0.28835930487891326,0.044,2,40055,1,1
0.0,20220501,0.28835930487891326,0.009,2,46129,1,2
0.0,20220501,0.2754995130054923,0.012,2,22035,1,1
0.0,20220501,0.2681382186856186,0.028,2,22037,1,1
0.0,20220501,0.2765835380061343,0.008,2,48153,1,2
0.0,20220501,-0.3840191095213261,0.039,3,47009,3,1
0.0,20220501,0.27149444584138094,0.009,2,01053,1,2
7.964319847085059e-05,20220501,0.002217037215196755,0.02,2,20001,1,1
0.00020384242980176325,20220501,0.6077675830434823,0.05,1,17041,4,1
7.369196757553427e-05,20220501,0.02098634461602736,0.048,2,05065,1,1
3.6141530232390037e-05,20220501,0.15863477746708057,0.017,2,35017,1,1
0.0,20220501,0.28835930487891326,0.009,2,29131,1,2
0.0,20220501,0.2515862130323638,0.033,2,29021,1,1
0.0006069255121959221,20220501,6.041451560998318,0.003,1,42015,4,2
0.0,20220501,0.28835930487891326,0.022,2,29051,1,1
0.00010380645286862644,20220501,0.11892024386130186,0.036,1,26021,4,1
0.000340522133938706,20220501,3.5369702173524074,0.008,1,31045,4,2
0.0,20220501,0.233620270703381,0.045,2,35007,1,1
0.0,20220501,0.26960485799285805,0.015,2,05127,1,1
0.0002893138002682728,20220501,1.6166161803636359,0.017,1,33005,4,1
0.0,20220501,0.28835930487891326,0.02,2,47023,1,1
0.0,20220501,0.28835930487891326,0.009,2,49027,1,2
0.0,20220501,0.28835930487891326,0.027,2,47087,1,1
0.0,20220501,0.2613318964502665,0.022,2,17159,1,1
0.0001774937877174299,20220501,0.45957356050650594,0.035,1,48131,4,1
0.0,20220501,0.28835930487891326,0.026,2,29173,1,1
0.0,20220501,0.2647709346190786,0.011,2,13061,1,1
0.0,20220501,0.271963299338167,0.011,2,48159,1,1
0.0005756425415396105,20220501,7.568547539782876,0.005,1,36113,4,2
7.234319612240469e-05,20220501,0.02869440225589375,0.01,2,40005,1,2
0.0,20220501,0.28835930487891326,0.01,2,12069,1,2
0.0,20220501,0.26311589415619463,0.034,2,38083,1,1
0.00014370099373463668,20220501,0.34946836813105897,0.024,1,20091,4,1
0.0002237494006712482,20220501,0.9693808655527769,0.029,1,53031,4,1
0.00021685559388861508,20220501,1.0753788789224925,0.016,1,27169,4,1
2.149659279004278e-05,20220501,0.19075527240681436,0.02,2,28149,1,1
0.0,20220501,0.2616038749330451,0.029,2,29003,1,1
0.0,20220501,0.28835930487891326,0.006,2,29139,1,2
0.0,20220501,0.23802894595788804,0.039,2,21051,1,1
0.0002159170878382701,20220501,0.8286772836154919,0.025,1,41043,4,1
0.0,20220501,0.25947839831268027,0.029,2,29153,1,1
0.0,20220501,0.2686836360017922,0.027,2,01099,1,1
0.0,20220501,-0.902728271433693,0.005,3,50009,3,2
0.0,20220501,0.28835930487891326,0.012,2,13283,1,1
0.00024455802307371294,20220501,1.0577690388308019,0.02,1,34005,4,1
0.0005263872852000271,20220501,7.72260705523651,0.003,1,50021,4,2
0.0,20220501,0.2785645733034269,0.011,2,13099,1,1
0.0,20220501,0.2709720858427083,0.014,2,38049,1,1
0.0004286326618088298,20220501,3.2680657792231362,0.006,1,31179,4,2
0.00028354494187328693,20220501,1.9316674483095744,0.014,1,33007,4,1
4.6816479400749066e-05,20220501,0.09339963475903003,0.038,2,28101,1,1
0.0,20220501,0.28835930487891326,0.02,2,20023,1,1
0.0,20220501,0.24718005715097507,0.025,2,19185,1,1
0.0,20220501,0.27984692304474745,0.014,2,48165,1,1
3.348289024308578e-05,20220501,0.1445046797089116,0.027,2,01093,1,1
8.567787261842289e-05,20220501,-0.01784544741036986,0.015,4,48037,2,1
0.0,20220501,0.24309754667662323,0.037,2,29127,1,1
0.0003544779426100211,20220501,3.595340296174269,0.009,1,36045,4,2
0.0004963826117171115,20220501,6.597801290136288,0.007,1,36019,4,2
0.0,20220501,0.2574262500600812,0.033,2,29177,1,1
0.0,20220501,0.28835930487891326,0.008,2,28135,1,2
0.0,20220501,0.24766290102385283,0.05,2,48003,1,1
2.50681016762204e-05,20220501,0.19838116554310098,0.012,2,48375,1,1
0.0,20220501,0.2765835380061343,0.009,2,48169,1,2
0.0,20220501,0.28835930487891326,0.013,2,56011,1,1
0.0003270132151811076,20220501,2.8386554010106635,0.004,1,25013,4,2
0.0,20220501,0.28835930487891326,0.011,2,20029,1,1
0.0,20220501,0.28835930487891326,0.016,2,19059,1,1
0.0,20220501,0.26152707082824417,0.022,2,21095,1,1
0.0,20220501,0.28835930487891326,0.022,2,47179,1,1
0.0,20220501,0.2460211319440161,0.039,2,22047,1,1
0.0,20220501,0.28835930487891326,0.044,2,28125,1,1
0.0002519918473225866,20220501,0.9584740780752499,0.036,1,55131,4,1
0.0,20220501,0.28835930487891326,0.007,2,29105,1,2
0.0,20220501,0.28835930487891326,0.007,2,29195,1,2
0.0001883002761737384,20220501,1.0614528148954532,0.012,1,17039,4,1
0.0,20220501,0.2517842905376133,0.023,2,32033,1,1
0.0003459758681831942,20220501,2.212723429432268,0.014,1,27049,4,1
0.0,20220501,0.28835930487891326,0.026,2,12101,1,1
0.0,20220501,0.28835930487891326,0.011,2,12119,1,1
0.00043199123632795656,20220501,3.1897379118701896,0.015,1,36059,4,1
0.00019493747380527695,20220501,0.589907789703879,0.034,1,55039,4,1
0.0,20220501,0.28835930487891326,0.015,2,40151,1,1
0.0007989347536617843,20220501,8.054867981871036,0.009,1,21063,4,2
0.0006011469250543801,20220501,6.871905847245728,0.003,1,25003,4,2
0.0,20220501,0.28835930487891326,0.004,2,29041,1,2
6.576351440220966e-05,20220501,0.045819979554975805,0.018,2,41045,1,1
0.0003813928709802402,20220501,3.3015990687850625,0.004,1,34023,4,2
0.0,20220501,0.28835930487891326,0.009,2,20167,1,2
0.0,20220501,0.28835930487891326,0.001,2,47111,1,3
0.00023527860016362556,20220501,1.2889753712141354,0.019,1,25005,4,1
0.0,20220501,0.26390120839867065,0.013,2,38103,1,1
0.0,20220501,0.2731947973334833,0.013,2,05027,1,1
0.00016974893001591113,20220501,0.5714295690740668,0.028,1,06095,4,1
0.0,20220501,0.2718616377282975,0.006,2,38087,1,2
0.0,20220501,-0.9645117723880543,0.007,3,31071,3,2
1.8610883644755454e-05,20220501,0.19547010040447052,0.023,2,22099,1,1
0.0,20220501,0.26819265379375407,0.018,2,01119,1,1
0.0,20220501,0.28835930487891326,0.038,2,12117,1,1
0.00012369835593639656,20220501,0.24893131767267412,0.03,1,20177,4,1
0.0,20220501,0.28835930487891326,0.021,2,46061,1,1
0.0004213187276174426,20220501,5.619044108529822,0.003,1,36053,4,2
0.0004057387691508699,20220501,5.401112557104996,0.002,1,36115,4,2
0.0,20220501,0.2765835380061343,0.005,2,48445,1,2
0.0,20220501,0.26247893896242325,0.038,2,35021,1,1
0.0,20220501,0.2233443079770512,0.048,2,19021,1,1
0.0,20220501,0.2691429398999641,0.027,2,19129,1,1
0.0,20220501,0.2771120374619367,0.003,2,48065,1,2
0.0,20220501,0.2394294386182633,0.018,2,13261,1,1
0.0,20220501,0.28835930487891326,0.005,2,29223,1,2
7.951112019809627e-05,20220501,-0.003662762064259491,0.047,3,26087,3,1
0.0,20220501,0.26053288609952346,0.021,2,22027,1,1
0.0,20220501,0.2749637163401635,0.017,2,28161,1,1
0.0,20220501,0.2670208532758617,0.025,2,22039,1,1
0.0,20220501,0.28835930487891326,0.003,2,47069,1,2
0.0,20220501,0.28835930487891326,0.01,2,40057,1,2
0.0,20220501,0.28835930487891326,0.019,2,29039,1,1
9.337940050424876e-05,20220501,-0.046811854795939516,0.001,4,16085,2,3
0.0,20220501,0.28835930487891326,0.018,2,48275,1,1
0.0,20220501,0.2464716374049714,0.031,2,05103,1,1
0.0,20220501,0.28835930487891326,0.006,2,46041,1,2
0.00021098690217824279,20220501,0.8582961914672429,0.014,1,06013,4,1
0.0,20220501,0.28835930487891326,0.005,2,47017,1,2
0.0003622702267543271,20220501,2.9556029001186865,0.013,1,36119,4,1
0.0,20220501,0.28835930487891326,0.021,2,29017,1,1
0.00026005436652272326,20220501,1.4807514399021484,0.013,1,09009,4,1
0.0002799552071668533,20220501,2.852974700191877,0.005,1,31139,4,2
0.0,20220501,0.28835930487891326,0.012,2,38051,1,1
0.00018086453246518358,20220501,1.0778084297765345,0.004,1,31141,4,2
0.0,20220501,0.28835930487891326,0.011,2,29175,1,1
0.00020351275346588385,20220501,0.9547738745988743,0.011,1,55105,4,1
0.0,20220501,0.28835930487891326,0.006,2,48345,1,2
0.00019821074623667436,20220501,0.5602036879066619,0.049,1,41039,4,1
0.0,20220501,0.28835930487891326,0.011,2,20089,1,1
0.0,20220501,0.28835930487891326,0.017,2,20123,1,1
0.0,20220501,0.28835930487891326,0.025,2,12007,1,1
0.0,20220501,0.23450167817482057,0.041,2,28091,1,1
4.181126395450934e-05,20220501,0.13019897133486477,0.036,2,28039,1,1
0.0,20220501,0.27472735113359226,0.013,2,21171,1,1
0.0,20220501,0.25819051950775174,0.023,2,40075,1,1
3.289010007987596e-05,20220501,0.16945211573524582,0.009,2,01003,1,2
