ID,daily,date,lisa_v,lisa_p,lisa_c,clusterN,p
21175,0.0007525586995785671,20220817,3.6850643286120377,0.004,1,4,2
21177,0.0007108009434267067,20220817,1.0167005674773824,0.022,1,4,1
12041,0.0009469169498134017,20220817,4.626507061207234,0.003,1,4,2
12086,0.0011483914370007276,20220817,4.114223312201203,0.009,1,4,2
31057,0.0,20220817,1.021313707027174,0.001,2,1,3
08097,0.00016735468035256051,20220817,0.26579306636772515,0.034,2,1,1
51595,0.0011025358324145535,20220817,-3.212379072004873,0.001,4,2,3
20071,0.0008438818565400844,20220817,-1.5140817597137344,0.003,4,2,2
33009,0.00016708065540171758,20220817,0.34335971592112524,0.001,2,1,3
18129,0.00035211267605633805,20220817,0.18596584184125375,0.008,1,4,2
51009,0.00022029897718332022,20220817,-0.3932614790879646,0.003,3,3,2
08093,5.596910505401019e-05,20220817,0.46980328933653187,0.013,2,1,1
12055,0.000947436603923161,20220817,3.543170481167297,0.006,1,4,2
50017,6.918500069185e-05,20220817,0.6223168428278146,0.005,2,1,2
08003,0.00018625442354255913,20220817,0.28770351016897167,0.013,2,1,1
12017,0.0008541768559403179,20220817,3.5050421286275157,0.008,1,4,2
47041,0.00015115634604726154,20220817,0.3865195344503623,0.005,2,1,2
46097,0.0,20220817,0.8513946534183157,0.004,2,1,2
46073,0.0,20220817,0.8335743575568458,0.003,2,1,2
36031,0.00013347927066926506,20220817,0.3104373215634722,0.025,2,1,1
40063,0.00014956625785222854,20220817,-0.47166857019223535,0.01,3,3,2
51027,0.00018358729575913347,20220817,-0.37869209098279477,0.009,3,3,2
51005,0.0004618328165204196,20220817,0.9818271152424083,0.002,1,4,2
28073,0.000710032435572625,20220817,1.3628923410278138,0.017,1,4,1
38057,0.0001181753722524226,20220817,0.69946778356517,0.001,2,1,3
32021,0.0,20220817,0.8258873482237266,0.005,2,1,2
31157,5.544159228253035e-05,20220817,0.8514790735615495,0.001,2,1,3
38021,0.0,20220817,0.9458707140380443,0.001,2,1,3
38003,9.340556697179151e-05,20220817,0.7930293798683429,0.001,2,1,3
16019,0.0002185467515210854,20220817,0.1536398533908872,0.033,2,1,1
29005,0.0011474469305794606,20220817,-1.712470557288032,0.018,4,2,1
30033,0.0,20220817,0.5310597209321297,0.026,2,1,1
31001,3.1658593725266726e-05,20220817,0.8914303680267371,0.002,2,1,2
46087,0.0001802451333813987,20220817,0.28782966326024184,0.008,2,1,2
08081,0.00015235773596404358,20220817,0.34883291200176453,0.008,2,1,2
21087,0.0006375808361417251,20220817,1.0305659149308903,0.014,1,4,1
38015,5.274651081830937e-05,20220817,0.9922577226136102,0.001,2,1,3
21237,0.0012487859025946996,20220817,6.538496613903995,0.003,1,4,2
